# ra decN decS
2.667418546365914835e+02 1.100550905961688386e+01 9.643035081536481812e+00
2.669047619047619264e+02 1.101196805667848366e+01 9.649021806367500176e+00
2.670676691729323124e+02 1.101842705374019715e+01 9.655008531198632227e+00
2.672305764411027553e+02 1.102488605080179696e+01 9.660995256029536904e+00
2.673934837092731982e+02 1.103134504786351044e+01 9.666981980860668955e+00
2.675563909774435842e+02 1.103780404492511025e+01 9.672968705691687319e+00
2.677192982456140271e+02 1.104426304198682374e+01 9.678955430522705683e+00
2.678822055137844700e+02 1.105072203904842354e+01 9.684942155353724047e+00
2.680451127819549129e+02 1.105718103611013703e+01 9.690928880184742411e+00
2.682080200501252989e+02 1.106364003317185052e+01 9.696915605015760775e+00
2.683709273182957418e+02 1.107009903023345032e+01 9.702902329846892826e+00
2.685338345864661846e+02 1.107655802729505012e+01 9.708889054677797503e+00
2.686967418546365707e+02 1.108301702435676361e+01 9.714875779508929554e+00
2.688596491228070136e+02 1.108947602141836342e+01 9.720862504339947918e+00
2.690225563909774564e+02 1.109593501847996322e+01 9.726849229171079969e+00
2.691854636591478993e+02 1.110239401554179040e+01 9.732835954001984646e+00
2.693483709273182853e+02 1.110885301260327651e+01 9.738822678833003010e+00
2.695112781954887282e+02 1.111531200966499000e+01 9.744809403664135061e+00
2.696741854636591142e+02 1.112177100672658980e+01 9.750796128495153425e+00
2.698370927318295571e+02 1.112823000378830329e+01 9.756782853326171789e+00
2.700000000000000000e+02 1.113468900085001678e+01 9.762769578157190153e+00
