# ra decN decS
2.242230576441102698e+02 -4.132942516108530029e+00 -6.383591954762658283e+00
2.243859649122807127e+02 -3.936226978512516794e+00 -6.188144644104648151e+00
2.245488721804511272e+02 -3.739700477749887675e+00 -5.992201821955507768e+00
2.247117794486215416e+02 -3.543603775613511253e+00 -5.795832179268273876e+00
2.248746867167919845e+02 -3.348210047221933827e+00 -5.599134292104620769e+00
2.250375939849623990e+02 -3.153822721740006330e+00 -5.402242323074677444e+00
2.252005012531328418e+02 -2.960772652116806292e+00 -5.205325924307425467e+00
2.253634085213032563e+02 -2.769414589123696313e+00 -5.008589742801750511e+00
2.255263157894736707e+02 -2.580122961086713573e+00 -4.812272443418443402e+00
2.256892230576441136e+02 -2.393286990301708439e+00 -4.616645173281141545e+00
2.258521303258145281e+02 -2.209305208976542367e+00 -4.422009404122858811e+00
2.260150375939849710e+02 -2.028579470055506206e+00 -4.228694106460270774e+00
2.261779448621553854e+02 -1.851508579523026832e+00 -4.037052231378122080e+00
2.263408521303257999e+02 -1.678481704615228720e+00 -3.847456501789471517e+00
2.265037593984962427e+02 -1.509871734662334930e+00 -3.660294544514311799e+00
2.266666666666666572e+02 -1.346028786054605186e+00 -3.475963426175606497e+00
2.268295739348371001e+02 -1.187274048514456837e+00 -3.294863688139449298e+00
2.269924812030075145e+02 -1.033894165449729563e+00 -3.117393006609624262e+00
2.271553884711779574e+02 -8.861363264033413900e-01 -2.943939631421772951e+00
2.273182957393483719e+02 -7.442042250185681995e-01 -2.774875778963748374e+00
2.274812030075187863e+02 -6.084826066382010845e-01 -2.610551169043584974e+00
2.276441102756892292e+02 -4.791616900478286034e-01 -2.451286900918020706e+00
2.278070175438596436e+02 -3.561185276808810363e-01 -2.297369859116930257e+00
2.279699248120300581e+02 -2.393720057737801776e-01 -2.149047824930242268e+00
2.281328320802005010e+02 -1.295608786662529599e-01 -2.006615710031407485e+00
2.282957393483709154e+02 -2.623658571515562546e-02 -1.870486047643355354e+00
2.284586466165413583e+02 7.076314662822257018e-02 -1.740540387256505728e+00
2.286215538847117728e+02 5.398460054651419426e-01 -1.616850090056406453e+00
2.287844611528822156e+02 4.406810546321016098e-01 -1.499619540084630609e+00
2.289473684210526301e+02 1.037441235577700072e+00 -1.389277732944212751e+00
2.291102756892230445e+02 1.173205646770973720e+00 -1.285262047035031996e+00
2.292731829573934874e+02 1.304545328269528071e+00 -1.187906611934142820e+00
2.294360902255639019e+02 1.431904527221158574e+00 -8.111126613703171229e-01
2.295989974937343447e+02 1.555541132516910618e+00 -1.012937246904031641e+00
2.297619047619047592e+02 1.675693142267124403e+00 -2.249568186647944446e-01
2.299248120300752021e+02 1.792580586077300975e+00 -8.873281537009446163e-02
2.300877192982456165e+02 1.906407228957436084e+00 4.314086964223721316e-02
2.302506265664160310e+02 2.017362085253342041e+00 1.707887264165691421e-01
2.304135338345864739e+02 2.125620766827835517e+00 2.946950058435792164e-01
2.305764411027568883e+02 2.231346686237426269e+00 4.150993793712359214e-01
2.307393483709273028e+02 2.334692132717502311e+00 5.322227033172655108e-01
2.309022556390977456e+02 2.435799236319470040e+00 6.462694911608335424e-01
2.310651629072681601e+02 2.534800833449212476e+00 7.574294389743407852e-01
2.312280701754386030e+02 2.631821245282281563e+00 8.658787832587562239e-01
2.313909774436090174e+02 2.726976979017100788e+00 9.717815122435894404e-01
2.315538847117794603e+02 2.820368286837641403e+00 1.075290448722449499e+00
2.317167919799498748e+02 2.912023264221364371e+00 1.176548219978518661e+00
2.318796992481202892e+02 3.002124798724695509e+00 1.275688128225636264e+00
2.320426065162907321e+02 3.090764945670468222e+00 1.372834933182621064e+00
2.322055137844611465e+02 3.178030393604038384e+00 1.468039001143902844e+00
2.323684210526315894e+02 3.264002868945658165e+00 1.561458167619801829e+00
2.325313283208020039e+02 3.348759503511407942e+00 1.653214864681431751e+00
2.326942355889724183e+02 3.432373168667138597e+00 1.743407338811651108e+00
2.328571428571428612e+02 3.514912779439572255e+00 1.832128008144843001e+00
2.330200501253132757e+02 3.596443571528127325e+00 1.919463910286923092e+00
2.331829573934837185e+02 3.677027353827702072e+00 2.005497108483488500e+00
2.333458646616541330e+02 3.756722738780514881e+00 2.090305060440464491e+00
2.335087719298245474e+02 3.835585352620609179e+00 2.173960953591737688e+00
2.336716791979949903e+02 3.913668027350160283e+00 2.256534010164504611e+00
2.338345864661654048e+02 3.990958218357936182e+00 2.338089765007424603e+00
2.339974937343358476e+02 4.067559168484594423e+00 2.418690318810038598e+00
2.341604010025062621e+02 4.143533012702961038e+00 2.498394569047140301e+00
2.343233082706767050e+02 4.218922728475264172e+00 2.577258420724442445e+00
2.344862155388471194e+02 4.293769199044653817e+00 2.655292231861318797e+00
2.346491228070175339e+02 4.368111328230082968e+00 2.732556969380853573e+00
2.348120300751879768e+02 4.441986145079118486e+00 2.809142311262202263e+00
2.349749373433583912e+02 4.515428899198796309e+00 2.885093720470059964e+00
2.351378446115288057e+02 4.588473147505713001e+00 2.960454434780755761e+00
2.353007518796992485e+02 4.661150833066010080e+00 3.035265592795076017e+00
2.354636591478696630e+02 4.733450933899982616e+00 3.109566348855031137e+00
2.356265664160401059e+02 4.805451758596946732e+00 3.183393977777049244e+00
2.357894736842105203e+02 4.877180515421132512e+00 3.256783970224188973e+00
2.359523809523809632e+02 4.948662779662546640e+00 3.329770119461430866e+00
2.361152882205513777e+02 5.019922794636124230e+00 3.402360726954991144e+00
2.362781954887217921e+02 5.090983515239236645e+00 3.474595027038453576e+00
2.364411027568922350e+02 5.161866646813479065e+00 3.546525442210083590e+00
2.366040100250626494e+02 5.232592679657726009e+00 3.618179151955829287e+00
2.367669172932330923e+02 5.303180080981079847e+00 3.689581949963610885e+00
2.369298245614035068e+02 5.373634377594368239e+00 3.760758292601149577e+00
2.370927318295739497e+02 5.443991289776795028e+00 3.831731342296792242e+00
2.372556390977443641e+02 5.514266069443666041e+00 3.902523006198426625e+00
2.374185463659147786e+02 5.584472866599868190e+00 3.973153970458585871e+00
2.375814536340852214e+02 5.654624744351380627e+00 4.043635872736671466e+00
2.377443609022556359e+02 5.724733691439588767e+00 4.113989524944791754e+00
